id,name,club,profileLink
6287,- Ádám Natália,JoyDance TSE,par.php?id=4660
6288,- Katona Kamilla,Írisz Táncklub Makó Sportegyesület,par.php?id=4662
6289,- Kalmár Zita Kinga,Bárdos Lajos AMI,par.php?id=4664
6290,Mulan -,Valcer Táncstúdió,par.php?id=6696
6291,Baráth Márk - Sümegi Dalma,C_M,par.php?id=2005
6292,Dankó Kende Péter - Takács Viviána,Kner Táncsport Egyesület - Nyíri Lajos Táncsport Egyesület,par.php?id=5714
6293,Keller Zsolt Ákos - Darabont Veronika,Quality Dance TSE,par.php?id=5154
6294,Zsoldos Gellért László - Rónay Diána,Bonita Sporttánc Egyesület,par.php?id=4911
6295,Császár Armand - Császár Janka,SZIGO Kulturális Táncsport Egyesület,par.php?id=7578
6296,Tregova Balázs - Puzsik Csenge,Easydance TSE,par.php?id=676
6297,Prevics József - Muzsai Fruzsina Ágnes,Dimenzió TSE,par.php?id=489
6298,Daskó Leila - Vinai Vivien,Szabolcs DSE,par.php?id=4992
6299,Sebők Nikolett - Szalkay Lili,Szabolcs DSE,par.php?id=4993
6300,Bartus Nóra - Boross Katalin Hédi,Szilver AMI,par.php?id=4994
6301,Benczúr Dorina - Mácsai Regina Fanni,Kner TSE- Bárdos Lajos AMI,par.php?id=4995
6302,Patkós Karina - Márton Regina,Kner TSE- Bárdos Lajos AMI,par.php?id=4996
6303,Szmolka Tamás - Sándor Szilvia,Dance Universe Tánc Sportegyesület,par.php?id=6398
6304,Lohauss Fabian - Braunschweig Simone,Germany,par.php?id=3936
6305,Destri Roberto - Lentini Giuseppina,Italy,par.php?id=3937
6306,Santucci Stefano - Pallini Verusca,Italy,par.php?id=3938
6307,Hala Lubor - Halova Sarka,Czech Republic,par.php?id=3939
6308,Kabral Kulno - Kabral Monika,Estonia,par.php?id=3941
6309,Jandejsek Milan - Pavlova Jana,Czech Republic,par.php?id=3942
6310,Schuetz Michael - Schuetz Petra,Austria,par.php?id=3943
6311,Jiri Vrana - Jaromira Vranova,Czech Republic,par.php?id=3945
6312,Topol Valeriy - Topol Elena,Russian Federation,par.php?id=3946
6313,Matousek Jan - Matouskova Vera,Czech Republic,par.php?id=3948
6314,Mudri Mateo - Matic Ivana,Croatia,par.php?id=3759
6315,Vántus Gergely - Horváth Evódia Hanna,Szilver Táncsport Egyesület,par.php?id=5724
6316,Fésűs Ákos - Hegedűs Fanni,Oktogon Tánccentrum - Goldance Táncsport Egyesület,par.php?id=2767
6317,Boruzs Réka -,Dance Universe Tánc Sportegyesület,par.php?id=6897
6318,Amour Fatal -,TSK Wienerwald Mödling A-Team - Ausztria,par.php?id=3626
6319,Barbie -,Ametiszt Táncsport Egyesület,par.php?id=6944
6320,Felnőtt lányformáció - Love,Lesz Dance Tánc- és Sportegyesület,par.php?id=7387
6321,Forma TSE - Táltos Team Voila - Voila,Forma Táncsport Egyesület,par.php?id=7386
6322,Hancz Patrik. - Hancz Bianka,Platina Tánc Sportegyesület,par.php?id=2429
6323,Alexandru-Lucian Boariu - Beatrice Bochis-Mutiu,Romania,par.php?id=3864
6324,Kricheli Roy - Riabushkina Mariia,Austria,par.php?id=3865
6325,Fediai Artem - Zelenska Daryna,Ukraine,par.php?id=3866
6326,Boiko Denys - Nonko Oleksandra,Ukraine,par.php?id=3867
6327,Novak Petr - Hrncirikova Vendulka,Czech Republic,par.php?id=3868
6328,Stajan Zan - Stajan Ana,Slovenia,par.php?id=3869
6329,Gadocha Mateusz - Krol Emilia,Poland,par.php?id=3870
6330,Pletnev Alexander - Sarsen Amina,Austria,par.php?id=3871
6331,Abdakovic Tian - Kuduzovic Lina,Slovenia,par.php?id=3872
6332,Kai Soukup - Julia  Schulz,Austria,par.php?id=3874
6333,Tóth Asztrik Attila - Könye Rozália Ilka,Savaria Táncsport Egyesület,par.php?id=2554
6334,Tihanyi Hanga Dorka -,Szigo Kulturális TSE,par.php?id=7668
6335,Fülöp Karolina -,Ametiszt Tánc-Sport Egyesület,par.php?id=7663
6336,Barancsi Hanna -,Szigo Kulturális TSE,par.php?id=7664
6337,Győrfi Amira -,Ametiszt Tánc-Sport Egyesület,par.php?id=7665
6338,Farkas Zara -,Ametiszt Tánc-Sport Egyesület,par.php?id=7667
6339,Nikolausz Nóra -,Ametiszt Tánc-Sport Egyesület,par.php?id=7666
6340,Vas Enikő Eleonóra -,Valcer Táncstúdió,par.php?id=6663
6341,Balogh Brigitta -,Valcer Táncstúdió,par.php?id=6662
6342,Bercea  Robert - Szabo Silvia,Brilli-Art Studio Közhasznú Táncsport Egyesület,par.php?id=6274
6343,Szobol Zsolt - Nemes Alexa,Laguna KTSE,par.php?id=42
6344,Cseh Károly - Cseh Melinda,Platina Tánc Sportegyesület,par.php?id=1162
6345,Szabó Karolin -,BNK,par.php?id=4595
6346,Pósa Réka -,BNK,par.php?id=4596
6347,Moldovan Paul - Tatar Cristina,Romania,par.php?id=3692
6348,Rohde Malthe Brinch - Sorensen Sandra,Denmark,par.php?id=3693
6349,Liaskovsky Artyom - Zaputriaeva Ksenia,Israel,par.php?id=3694
6350,Miculescu Ionut Alexandru - Pacurar Andra,Romania,par.php?id=3695
6351,Testa Eric - Brezzo Federica,Italy,par.php?id=3696
6352,Jutge David - Podgornaia Tatiana,France,par.php?id=3697
6353,Poliansky Fedor - Akhmetgareeva Dina,Russian Federation,par.php?id=3699
6354,Dauksas Dominykas - Azarova Svetlana,Lithuania,par.php?id=3700
6355,Xie Ziang - XU Miaoer,China,par.php?id=3701
6356,Holy Tomas - Tomesova Charlotte,Czech Republic,par.php?id=3702
6357,Zankel Adam - Cernikova Lucie,Czech Republic,par.php?id=3703
6358,Platschka Stephan - Winter Manuela,Austria,par.php?id=3704
6359,Minarovic Jakub - Sekova Jana,Czech Republic,par.php?id=3705
6360,Nagy János - Both Adrienn,Dance Universe Tánc Sportegyesület,par.php?id=7511
6361,- Simó Dorottya Luca,Sundance Tse,par.php?id=4689
6362,- Papdi Szabina,Fallaway Táncegyesület Szeged,par.php?id=4691
6363,- Csatári Kíra,Nyíri Lajos TSE,par.php?id=4692
6364,Korf Erhardt - Korf Monica,South Africa,par.php?id=4520
6365,Grosz Eckhard - Grosz Gabriela,Austria,par.php?id=4522
6366,Csorba Viktória -,Miskolcz-Revital TSE,par.php?id=7467
6367,Bárándi Attila - Lapu Fanni,Szilver Táncsport Egyesület,par.php?id=680
6368,Varga László Károly - Benkő Zsuzsanna,Forma Táncsport Egyesület,par.php?id=286
6369,Préger Balázs - Oláh-Kovacsics Klaudia,Dimenzió Táncsport Egyesület,par.php?id=7572
6370,Csonka István - Lábodi Laura,SZIGO Kulturális Táncsport Egyesület,par.php?id=7569
6371,Főnix -,Érdi Táncsport Egyesület,par.php?id=6721
6372,- Vinai Vivien,Szabolcs DSE,par.php?id=5006
6373,- Bartus Nóra,Szilver AMI,par.php?id=5007
6374,- Boross Katalin Hédi,Szilver AMI,par.php?id=5008
6375,- Márkus Zsófi,Szilver AMI,par.php?id=5009
6376,- Daskó Leila,Szabolcs DSE,par.php?id=5010
6377,- Horvát Henrietta,Korda Vince AMI,par.php?id=5011
6378,Salvatore vitacca - Mengfei Zhai,Italy,par.php?id=3277
6379,Vaclav Malek - Catharina Dvorak,Austria,par.php?id=3280
6380,Zdeno Blesak - Henrieta Vadkerti,Slovakia,par.php?id=3281
6381,Massimiliano Mura - Annamaria Moscaliova,Moldova,par.php?id=3282
6382,Patryk Wisniewski - Paulina Mrowczynska,Poland,par.php?id=4389
6383,Erdelyi Szilard Denes - Zofia Juhas,Serbia,par.php?id=4393
6384,Anestis Azas - Menia Anastasiadou,Greece,par.php?id=4394
6385,Felix Brand - Janine Lackner,Austria,par.php?id=4427
6386,Gabriel Reikl - Julia Oesterreicher,Austria,par.php?id=4428
6387,David Recio Sanchez - Ana Pujol Mendoza,Spain,par.php?id=4398
6388,PATRIK CRISTIAN COSTEA - IULIA ELENA GRADEA,Románia,par.php?id=4364
6389,VASILE DAVID MIRCEA CRISAN - VANESSA VASILONI,Románia,par.php?id=4365
6390,Fodor Petra  -,Bárdos Lajos AMI,par.php?id=993
6391,Parlagi Bíborka -,KNER TSE Körösladány,par.php?id=994
6392,Csapó Izabella -,Kner TSE,par.php?id=995
6393,Mihály - Fabó Sára  -,Bárdos Lajos AMI,par.php?id=996
6394,Farks Réka Krisztina -,Dance Universe Tánc Sportegyesület,par.php?id=7158
6395,Lukács Olivér - Lukács Petra,Sway STE,par.php?id=443
6396,Kanizsai Melitta -,Dombóvári Ami Perfekt Dance,par.php?id=2261
6397,Csorba Daniella -,Ritmo Ste,par.php?id=2263
6398,P.Kovács Panka -,Ametiszt,par.php?id=2265
6399,Káldi Katalin -,Ametiszt,par.php?id=2267
6400,Laczó Katalin -,Ametiszt,par.php?id=2268
6401,Gála TE Future - GÁLA AIRLINE,Gála Társastáncklub Egyesület,par.php?id=2593
6402,Valcer Táncstúdió B csapat - IN THE MOOD,Valcer Táncstúdió,par.php?id=2594
6403,Zailac Dorotea - Malmos Vanessza,Kapronczai AMI Barcs,par.php?id=874
6404,Farkas Noémi - Szabó Vivien,Kossuth AMI Pécs,par.php?id=1200
6405,Szabó Bernadett - Marosi Kíra,Kapronczai AMI Komló,par.php?id=876
6406,Kővári Dominik - Prohászka Fruzsina,Lorigo Táncsport Egyesület,par.php?id=2492
6407,Zhydyk Natália -,Valcer TáncSport Egyesület,par.php?id=7622
6408,Nagy Gábor - Gere Klára,"SZILVER AMI, Dózsaház",par.php?id=2389
6409,Tóth Márton - Máté Virág,"CLASSIC AMI, Csongrád",par.php?id=2390
6410,Géczi Alexander - Szűcs Nikol,"SZILVER AMI, Szolnok Szent-Györgyi",par.php?id=2391
6411,Táborosi Ákos - Drahota-Szabó Dóra,"SZILVER AMI, Dózsaház",par.php?id=2392
6412,Márton Balassa - Batik Zoé,"SZILVER AMI, Dózsaház",par.php?id=2393
6413,Pop  Vlad Alex - Alvares Jhinuk,India,par.php?id=6294
6414,Bösztöri Fanni -,Freetime Táncsport Egyesület,par.php?id=6242
6415,Boldog Balázs - Cseri Csenge,Bárdos Lajos AMI,par.php?id=1795
6416,Szin Zsombor - Varga Regina,Bárdos Lajos AMI,par.php?id=1796
6417,Stefano  La Manna - Martina Spiantini,Italy,par.php?id=3251
6418,Tudor Muresan - Ada Precup,Romania,par.php?id=3255
6419,Adrian Ionut Iosipescu - Ana Andreea Cirdan,Romania,par.php?id=3258
6420,Jankovics Attila - Marozsán Mira Lilla,JoyDance Táncsport Egyesület,par.php?id=6919
6421,Borda Ádám - Lucz Laura,"Csongrádi Batsányi János Gimnázium, Szakképző Isko",par.php?id=527
6422,Sódar Bence - Kováts Tímea,Horváth Mihány Gimnázium,par.php?id=530
6423,Bíró Dániel - Mezősi Daniella,El Paso SE,par.php?id=1873
6424,Gábor  Stefan - Dan Melaia,Romania,par.php?id=6835
6425,Gyulavári Bálint - Verdes Jázmin Ildikó,SZOLDANCE Táncsport Egyesület,par.php?id=5632
6426,Avram Mark - Vultur Alexia,Romania,par.php?id=6787
6427,Schweitzer Dominik - Dudley Dóra,,par.php?id=894
6428,Mayer Mihály - Töreki Barbara,Kapronczai AMI Pécs,par.php?id=896
6429,Molnár László Ádám - Horváth Camille,Ametiszt Táncsport Egyesület,par.php?id=6167
6430,Gergely Dorka -,Szabolcs KSE,par.php?id=7019
6431,Liakhina Daria -,Ukraine,par.php?id=6409
6432,Kobzar Valeriia -,Ukraine,par.php?id=6408
6433,Kuzma Mariia -,Ukraine,par.php?id=6407
6434,Vonhaz  Erik - Vonhaz Ingrid,Romania,par.php?id=4156
6435,Nagy Ákos Bálint - Kovács Kitti Boglárka,Dance Universe Tánc Sportegyesület - Szabolcs Diáksport Egyesület,par.php?id=5589
6436,Veres Benedek Áron - Tőzsér Médi,Valcer TáncSport Egyesület,par.php?id=7434
6437,ZSEBENYI ERIK - PUSCASIU GABRIELA MARIA,Romania,par.php?id=5843
6438,KOCSIS RADU-NICOLAE - DOBRA CRINA-MARIOARA,Romania,par.php?id=5844
6439,Fekete Normann - Bondár Zsanett,FORMA AMI - Bonifert,par.php?id=2120
6440,Szabó Tamás - Takács Dóra,Rimányi Ts,par.php?id=2313
6441,Kiss Ádám - Tátrai Laura,Savaria TSE,par.php?id=2314
6442,Bagosi Zoltan - Bernadett Nonn,Románia,par.php?id=3215
6443,Kun Zoltán  - Fejes Anna,Kner TSE,par.php?id=988
6444,Tímár Kevin - Kovács Adél,Kner TSE,par.php?id=989
6445,Holub Roland - Holub Eleonora,Austria,par.php?id=4524
6446,Gritti Sergio - Filippini Francesca,Italy,par.php?id=3101
6447,Marcek Anton - Marcekova Jana,Slovakia,par.php?id=4895
6448,Beckmann Horst - Beckmann Patricia,Germany,par.php?id=4896
6449,Peresty Ladislav - Peresta Sarka,Czech Republic,par.php?id=4897
6450,Drescher Matthias - Drescher Petra,Germany,par.php?id=4898
6451,Koula Miroslav - Michelova Jana,Czech Republic,par.php?id=4899
6452,Prkna Ludek - Prknova Romana,Czech Republic,par.php?id=3107
6453,Kreilein Heinrich - Kreilein Marion,Germany,par.php?id=4900
6454,Novak Anton - Novak Susanna,Austria,par.php?id=4901
6455,Schuermann Alexander - Schuermann Gisela,Germany,par.php?id=4902
6456,Deyan Vlaykov - Emily Vlaykova,Bulgaria,par.php?id=3563
6457,Vlk Jan - Vlkova Eliska,Czech Republic,par.php?id=3564
6458,Pallas Krystof - Hendrychova Hana,Czech Republic,par.php?id=3565
6459,FABIO VASILONI - DELIA NICOLA CARAIMAN,Románia,par.php?id=4370
6460,Hegedűs Bálint Ervin - Dervaderics Zita,Papiron Szeged Versenytáncklub Egyesület,par.php?id=4345
6461,Sebesi Hunor - Huber Jaroslava,Austria,par.php?id=5263
6462,Eltervaag Lars Olav - Zygouri Paraskevi,Norway,par.php?id=5264
6463,Zavadskikh Evgeny - Lebedeva Ekaterina,Russian Federation,par.php?id=5265
6464,Dingis Daniel - Gigli Alessia-Allegra,Germany,par.php?id=5266
6465,Kolozsi Sandor - Regina Kaszas,Romania,par.php?id=5274
6466,Richard Bottner - Sofia Maria Rognean,Romania,par.php?id=5296
6467,Telenkai Kira - Varga Laura,Valcer Táncstúdió,par.php?id=6683
6468,Hajdu-Molnár Kincső - Bányai Bíborka,Dance Universe Tánc Sportegyesület,par.php?id=6682
6469,Horváth Gergő - Mursa Mercedesz Leila,Eraklin Táncklub Egyesület - Botafogo Táncegyüttes,par.php?id=7122
6470,Simon Márk Csaba - Kocsis Karola,Ködmön Társastánc SE,par.php?id=7255
6471,Sabau Emanuel - Andris Ariana,OPCIÓ Kft - ZugloDance,par.php?id=6276
6472,David Razvan - Stoian  Iris,Szilver Táncsport Egyesület,par.php?id=6277
6473,Costras Gabriel - Pogan Sara,L-DANCE GROUP Táncsport Egyesület,par.php?id=6275
6474,Szurkos Antal Ádám - Kovács Alexandra,GM Tánciskola,par.php?id=4989
6475,Lőrincz Sándor - Illés Laura Lilla,Happy Dance Táncsport Egyesület,par.php?id=480
6476,Kiss Tamás Bence - Lucz Laura,Szilver Táncsport Egyesület,par.php?id=481
6477,Kálmán Bálint - Moór Olívia,Gála Társastáncklub Egyesület,par.php?id=1047
6478,Majláth Nimród Vendel - Boros Rozina,SZILVER Tánc Egyesület,par.php?id=6872
6479,Mayer Gyula Dr - Mayerné Barna Zsuzsanna,INFINITY DANCE COMPANY TSE,par.php?id=5518
6480,Koóš Tobias - Nosálová Barbora,Slovakia,par.php?id=6826
6481,Tóth Viktor Donát - Szabó Dóra Zsófia,Valcer Táncstúdió,par.php?id=2546
6482,Kirill Pavlov - Kristina Shinkariuk,Russian Federation,par.php?id=3567
6483,Bencivenga Andrea - Goffi Silvia,Italy,par.php?id=3569
6484,Roman Redziuk - Elizaveta Basiuk,Ukraine,par.php?id=3570
6485,Martin Sramka - Erika Ferrara,Slovakia,par.php?id=3571
6486,Petrilli Giulio - Koponen Riikka,Finland,par.php?id=3573
6487,Dedik Marek - Stanova Barbara,Slovakia,par.php?id=3574
6488,Janis Berzins - Xiuyi Dong,Norway,par.php?id=3575
6489,Mayer Gergő - Tóth Fanni,Felicita KTSE,par.php?id=2148
6490,Telephone -,Gála TE,par.php?id=5400
6491,Rágyanszky Máté - Palyov Lara,Békésszentandrási Vértessy TSE,par.php?id=4966
6492,Herczeg-Szántó Róbert - Áy Zorka,Szilver AMI,par.php?id=4968
6493,Tóth Zoltán János - Dr. Debreceni Rita,Ködmön Társastánc SE,par.php?id=7744
6494,Cat sensation -,Dance Club Vracar - Szerbia,par.php?id=3621
6495,Rhapsody  -,Oktogon - Magyarország,par.php?id=3622
6496,Szecsődi-Parragh István - Jakobicz Szilvia Erzsébet,Bonton Tánc Sport Egyesület,par.php?id=6573
6497,DuDance Bad Girls -,DuDance Tánc-Egyesület,par.php?id=2920
6498,DuDance Little Swing -,DuDance Tánc-Egyesület,par.php?id=2921
6499,MAGYAR MILAN - POPA DIANA,Románia,par.php?id=5165
6500,Csáki Bence - Pikács Anett,SZILVER TSE,par.php?id=1719
6501,Kis László - Nagy Natália,KNER TSE,par.php?id=1720
6502,Tapodi Dániel - Biácsi Anna Petra,SZILVER TSE,par.php?id=1721
6503,Juhász Patrik - Szabó Brigitta,SZILVER TSE,par.php?id=1722
6504,Tasi Dániel - Jánosity Anna,"Freetime Kulturális, Szabadidő és Táncsport Egyesület",par.php?id=4847
6505,Farkas Áron - Hajnal Laura,Gemenc TSE,par.php?id=403
6506,Wendt Fabian - Steinmann Anne,Germany,par.php?id=4890
6507,Kiesel Petr - Mikeskova Nikola,Czech Republic,par.php?id=4891
6508,Ilecko Juraj - Kubova Viera,Slovakia,par.php?id=4893
6509,Haselberger Toni - Gansterer Martina,Austria,par.php?id=4894
6510,Katona András - Balogh Nikolett Evelin,Szilver Táncsport Egyesület - Flamenco 2001 TSE,par.php?id=4166
6511,Csepi András - Mikó Jázmin,El Paso SE,par.php?id=1839
6512,RITMO STE Senior Formáció -,Ritmo Sporttánc Egyesület,par.php?id=3849
6513,Lajos Róbert  - Mezei Cynthia,Szlovákia,par.php?id=1980
6514,Helmut Holler - Silvia Holler,Austria,par.php?id=1437
6515,Detlef Krebs - Andrea Peters,Germany,par.php?id=1438
6516,Robert Preininger - Simona Preininger,Slovenia,par.php?id=1439
6517,Norbert Jaeger - Beate Christine Jaeger-Eberhar,Germany,par.php?id=1442
6518,Lorenzo Spinelli - Catia Marchetto,Italy,par.php?id=1443
6519,Thomas Leinhaeupl - Ingrid Greck,Germany,par.php?id=1444
6520,Juergen Flimm - Christine Flimm,Germany,par.php?id=1447
6521,Andreas Pabst - Christine Pabst,Germany,par.php?id=1449
6522,Horst Beckmann - Patricia Beckmann,Germany,par.php?id=1451
6523,Heinz Seidl - Elvira Wimmer,Austria,par.php?id=1452
6524,Vermes László - Berti Franciska,Kapronczai AMI Szigetvár,par.php?id=760
6525,Volnhofer Valér - Sonntag Csenge,Diabelli AMI Kozásmisleny,par.php?id=762
6526,Pajkos Márk - Kistarnóczai Vanessza,Kapronczai AMI Mohács,par.php?id=763
6527,Faragó Attila - Halász Cintia,Diabelli AMI Kozásmisleny,par.php?id=764
6528,Tóth Kristóf - Petz Lara,Diabelli AMI Kozásmisleny,par.php?id=765
6529,Árvavári Gergő - Pintér Sarolta,Kolping AMI Sellye,par.php?id=766
6530,Miklósa Máté - Sárközi Jázmin,Kapronczai AMI Mohács,par.php?id=768
6531,Csonka Dominik - Ambrus Alexa,Kapronczai AMI Komló,par.php?id=767
6532,Bakó Krisztián - Czékmány Lili,Kapronczai AMI Györe,par.php?id=769
6533,Tóth Krisztián - Balogh Evelin,Kapronczai AMI Györe,par.php?id=770
6534,Bottner Richard - Sofia Rognean,Romania,par.php?id=4957
6535,Kaposzta Dávid Csongor - Rehó Virág Zsófia,"Botafogo Szabadidő-, Sport- és Kulturális Szolgáltató Egyesület",par.php?id=7722
6536,Sabján Olivér Marcell - Parrag-Siposs Léna,Gála Társastáncklub Egyesület,par.php?id=7423
6537,Mátéh Gergely - Zsiborács Laura,Gála Társastáncklub Egyesület,par.php?id=7422
6538,Soós Márkó - Szabó Bianka,,par.php?id=607
6539,Prágai Bence - Taját Emese,"Szilver AMI, Kaszaper",par.php?id=608
6540,Fűzfa Dominik - Stoica-Bodor Panna,"Szilver AMI, Martfű",par.php?id=615
6541,Nagy Gábor - Hamvai Dorka,"Szilver AMI, Dózsaház",par.php?id=609
6542,Juhász Milán Adrián - Urbán-Pap Zsófia,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=569
6543,Berta Balázs - Miskolczi Nóra,"Szilver AMI, Mindszent",par.php?id=612
6544,Ollé Zoltán - Dávid Orsolya,"Szilver AMI, Martfű",par.php?id=617
6545,Rab András  - Ónodi Klaudia,"Szilver AMI, Tiszakürt",par.php?id=614
6546,Lantos Levente - Kozák Doroti Abigél,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=582
6547,Palásti Richárd - Sarusi-Kis Linda,"Classic AMI, Csongrád Nagyboldog Asszony",par.php?id=577
6548,Farkas Martin - Nagy Zsófia,"Weiner Leó AMI, Nagykőrös",par.php?id=620
6549,Hartmann Ferenc - Pácsa Henrietta,"Weiner Leó AMI, Nagykőrös",par.php?id=621
6550,Szabó Dominik - Molnár Lili,"Szilver AMI, Martfű",par.php?id=622
6551,Veres Dominik Adrián - Veréb Benita Bella,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=567
6552,Sőrés András - Mucsi Vivien,"Szilver AMI, Tiszakürt",par.php?id=616
6553,Filep Áron Kálmán - Pécsi Kitti,"Weiner Leó AMI, Nagykőrös",par.php?id=623
6554,Farkas Martin - Kaszap Alexa,"Weiner Leó AMI, Nagykőrös",par.php?id=624
6555,Csernák Gergő József - Lading Bianka,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=587
6556,Kozák Richárd - Horváth Virág,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=584
6557,Papp László Zalán - Urbán Laura,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=592
6558,Németh Dávid - Benedek Petra,"Szilver AMI, Martfű",par.php?id=625
6559,Love on the Brain - 7,Írisz Táncklub Makó Sportegyesület,par.php?id=4756
6560,Kodelja Vitam - Kodelja Barbara,Slovenia,par.php?id=3098
6561,Monaco Francesco - Gangeri Iolanda,Italy,par.php?id=3099
6562,Cech Jiri - Cechova Zina,Czech Republic,par.php?id=3100
6563,Schubert Tamas - Schubert Baerbl,Germany,par.php?id=3102
6564,Boenisch Erich - Boenisch Christiana,Austria,par.php?id=3104
6565,Lerch Harald - Lerch Vera,Germany,par.php?id=3105
6566,Hon Jan - Honova Jaroslava,Czech Republic,par.php?id=3109
6567,Bernd Grzelachowski - Birgit Grzelachowski,Germany,par.php?id=3110
6568,Stefan Mezera - Sonja Mezera,Austria,par.php?id=3111
6569,Lerch Jiri - Lerchova Miriam,Czech Republic,par.php?id=3112
6570,Loga  Lorant - Szilagyi Eszter,Romania,par.php?id=4125
6571,Ternyák Timon - Somogyi Milana,SZIGO Kulturális Táncsport Egyesület,par.php?id=7579
6572,Husz Félix - Marásek Viktória,SZIGO Kulturális Táncsport Egyesület,par.php?id=7577
6573,Babcsány Lőrinc - Kiss Hanga Bella,Ametiszt Táncsport Egyesület,par.php?id=7588
6574,Ciupuliga Darian-Rares - Sabau Mara-Miruna,Románia,par.php?id=6325
6575,Családi Irina -,Savaria Táncsport Egyesület,par.php?id=7129
6576,Török Petra -,Lesz Dance Tánc- és Sportegyesület,par.php?id=6651
6577,Stjepanović Boris - Stjepanović Marija,Croatia,par.php?id=5050
6578,Halmóczki Lili -,Ametiszt,par.php?id=2286
6579,Varga Eszter -,Ametiszt,par.php?id=2287
6580,Nyers Laura -,Ametiszt,par.php?id=2288
6581,Gale Razvan - Borza Raysa,Exclusive Dance club,par.php?id=6924
6582,Dudás László - Török Zsófia,,par.php?id=1249
6583,Séllei Balázs - Turi Fanni,,par.php?id=1250
6584,Kozma Csaba - Kovács Nikoletta,,par.php?id=1251
6585,Christian Holderried - Daniela Saeurle-Holderried,Germany,par.php?id=4252
6586,Fabian Lohauss - Simone Braunschweig,Germany,par.php?id=4253
6587,Vlastimil Hosek - Marcela Pokorna,Czech Republic,par.php?id=4254
6588,Lubor Hala - Sarka Halova,Czech Republic,par.php?id=4256
6589,Fiorenzo Fortin - Marianna Voltan,Italy,par.php?id=4257
6590,Marino Riello - Antonella Perin,Italy,par.php?id=4258
6591,Lukas Povolny - Katerina Novakova,Czech Republic,par.php?id=4259
6592,Michele Mascia - Ilenia Santoro,Italy,par.php?id=4260
6593,Milan Jandejsek - Jana Pavlova,Czech Republic,par.php?id=4261
6594,Anton Marcek - Jana Marcekova,Slovakia,par.php?id=4262
6595,Falk Thomas - Sabrina Bisaccia,Germany,par.php?id=4263
6596,Jaroslaw Krainski - Anna Krainska,Poland,par.php?id=4264
6597,Andrea Tonolo - Stefania De Rossi,Italy,par.php?id=4265
6598,Friedrich Koenigstorfer - Michaela Heininger,Austria,par.php?id=4267
6599,Gerhard Sztasek - Karin Lepedat,Austria,par.php?id=4268
6600,Paolo Serafino Angeli - Alessandra Emilia Cassavi,Italy,par.php?id=4269
6601,Martin Zauner - Karin Zauner,Austria,par.php?id=4271
6602,Bondár Ákos - Bondár Adrienn,Kapronczai AMI Komló,par.php?id=1195
6603,Boros Csaba - Csiszér Éva,Kapronczai AMI Györe,par.php?id=1196
6604,Phoenix -,Érdi Táncsport Egyesület,par.php?id=3207
6605,Nyári Napsugár -,BNK Tánc Sportegyesület,par.php?id=7681
6606,Szabó Zsófi -,BNK Tánc Sportegyesület,par.php?id=7680
6607,Szvoboda Gábor - Bencsik Noémi,Békésszentandrási Vértessy TSE,par.php?id=664
6608,Gála TE Brilliant -,Gála Társastáncklub Egyesület,par.php?id=2419
6609,Bálint Róbert Miklós - Halák Éva Gizella,Big-BEM Táncsport Egyesület,par.php?id=7485
6610,Nattán Péter András - Nattánné Szamosi Mária Erika,Big-BEM Táncsport Egyesület,par.php?id=7685
6611,Monoszlai Endre - Monoszlainé Bors Ágnes,Adria-Szigó KTSE,par.php?id=2085
6612,Balikó Gergely - Mező Sophia Flóra,Oktogon Tánc Centrum Egyesület - Valcer Táncstúdió,par.php?id=5148
6613,Bagi Roland - Herczeg Luca,Fortuna TSE Jászárokszállás,par.php?id=5233
6614,Kiss Mihály - Bánkúti Ágnes,Casablanca TáncSport Egyesület,par.php?id=726
6615,Stefanek Petra -,Oktogon Tánc Centrum Egyesület,par.php?id=7714
6616,Nánai Dóra  -,DanceNet Sportegyesület,par.php?id=7712
6617,Svégel Barbara - Várdai Adrienn,Kapronczai AMI Barcs,par.php?id=873
6618,Kelemen Erika - Fodor Judit,Kapronczai AMI Barcs,par.php?id=875
6619,Nagy Alíz - Krisztián Lorin,Kapronczai AMI Barcs,par.php?id=877
6620,Bogdán Barbara - Szigeti Vivien,Kapronczai AMI Barcs,par.php?id=878
6621,Petr Kolarik - Nela Samsonkova,Czech Republic,par.php?id=4410
6622,Andale - 10,Írisz Táncklub Makó Sportegyesület,par.php?id=4763
6623,Korpas Gabriel - Murajdova Vanessa,Slovakia,par.php?id=4297
6624,Arthur Engi-Inauan - Carina Ciubancan Georgiana,Romania,par.php?id=4303
6625,Mihnea Covaci Vlad - Roxana Dumitru Andra,Romania,par.php?id=4304
6626,Kerek Anikó Edina -,Lesz Dance Tánc- és Sportegyesület,par.php?id=6205
6627,Ametiszt Ifjúsági - Barbie,Ametiszt Táncsport Egyesület,par.php?id=7401
6628,Kocsis Bence Zoltán - Magyar Viktória Mercédesz,"Szilver AMI, Tiszaföldvár",par.php?id=566
6629,Major Mihály - Váradi Dorina,"Szilver AMI, Kőtelek",par.php?id=568
